University,City,State,Application fee,Tution fee,Living Expences,Part time jobs,GRE,GMAT,IELTS,TOEFL,PTE,Duolingo,GPA,Programs,CS,IT,BA,DS,CE,DE,IS,AI,CSEC,ECS,ML,SE,IM
Brigham Young University,Provo,UT,$70 ,"$23,000 ",67,84,300,,7,85,58,105,3.0/4,"CS,BA,DS,ECS,IM","$12,500 ",,"$16,520 ","$16,520 ",,,,,,"$11,940 ",,,"$16,520 "
Illinois Institute of Technology,Chicago,IL,$75 ,"$39,000 ",63,80,300,600,6.5,80,53,105,3.0/4,"CS,IT,BA,DS,CE,IS,CSEC,ECS,ML,SE,IM","$36,600 ","$36,600 ","$36,600 ","$36,600 ","$36,600 ",,"$36,600 ",,"$36,600 ","$36,600 ","$36,600 ","$36,600 ","$36,600 "
"Rutgers, The State University of New Jersey--Newark",Newark,NJ,$70 ,"$32,304 ",67,50,300,550,6.5,79,53,105,3.0/4,"CS,IT,BA,DS,CE,IS,CSEC,ECS,ML,SE,IM","$32,304 ","$32,304 ","$32,304 ","$32,304 ","$32,304 ",,"$32,304 ",,"$32,304 ","$32,304 ","$32,304 ","$32,304 ","$32,304 "
Temple University,Philadelphia,PA,$60 ,"$28,176 ",73,75,300,550,6.5,88,58,110,3.0/4,"CS,IT,BA,DS,CE,DE,IS,CSEC,ECS,ML,SE,IM,AI","$26,994 ","$26,994 ","$30,168 ","$30,168 ","$26,994 ","$30,168 ","$26,994 ","$30,168 ","$26,994 ","$26,994 ","$30,168 ","$26,994 ","$26,994 "
University of New Mexico,Albuquerque,NM,$75 ,"$16,860 ",70,70,300,550,6.5,80,58,105,3.0/4,"CS,BA,DS,IS","$17,000 ",,"$21,000 ","$21,000 ",,,"$23,000 ",,,,,,
University of North Carolina--Charlotte,Charlotte,NC,$85 ,"$22,000 ",66,80,300,550,6.5,80,58,110,3.0/4,"CS,IT,BA,DS,CE,DE,IS,CSEC,ECS,ML,SE,IM,AI","$20,800 ","$19,500 ","$33,600 ","$33,600 ","$20,800 ","$20,800 ","$20,800 ","$20,800 ","$20,800 ","$20,800 ","$20,800 ","$20,800 ","$19,500 "
University of Massachusetts Lowell,Waltham,MA,$75 ,"$30,705 ",72,50,300,550,6.5,79,58,105,3.0/4,"CS,CE,DS,BA,IS","$28,000 ",,"$33,000 ","$33,000 ","$28,000 ",,"$30,000 ",,,,,,
Indiana University-Purdue University--Indianapolis,Indianapolis,IN,$70 ,"$30,000 ",72,70,300,,6.5,80,53,105,3.0/4,"CS,IT,BA,DS,IS,IM","$30,000 ","$24,000 ","$26,000 ","$26,000 ",,,"$26,000 ",,,,,,"$24,000 "
Kansas State University,Manhattan,KS,,,,,,,,,,,,,,,,,,,,,,,,,
University of Alabama,Tuscaloosa,AL,,,,,,,,,,,,,,,,,,,,,,,,,
University of Kentucky,Lexington,KY,,,,,,,,,,,,,,,,,,,,,,,,,
University of Missouri,Columbia,MO,,,,,,,,,,,,,,,,,,,,,,,,,
University of South Carolina,Columbia,SC,,,,,,,,,,,,,,,,,,,,,,,,,
University of South Florida,Tampa,FL,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne State University,Detroit,MI,,,,,,,,,,,,,,,,,,,,,,,,,
Stevens Institute of Technology,New York,NY,,,,,,,,,,,,,,,,,,,,,,,,,
James Madison University,Harrisonburg,VA,,,,,,,,,,,,,,,,,,,,,,,,,
Tulane University,New Orleans,LA,,,,,,,,,,,,,,,,,,,,,,,,,
University at Albany--SUNY,Albany,NY,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego State University,San Diego,CA,,,,,,,,,,,,,,,,,,,,,,,,,
University of Cincinnati,Cincinnati,OH,$65 ,"$25,000 ",74,90,300,550,6.5,79,58,105,3.0/4,"CS,IT,BA,DS","$25,000 ","$25,000 ","$25,000 ","$25,000 ",,,,,,,,,
University of Texas at Dallas,Dallas,TX,$100 ,"$23,378 ",72,82,300,620,6.5,80,67,105,3.0/4,"CS,IT,BA,DS,IS","$25,390 ","$26,622 ","$26,622 ","$25,390 ",,,"$26,622 ",,,,,,
Central Michigan University,Mount Pleasant,MI,,,,,,,,,,,,,,,,,,,,,,,,,
University of Massachusetts--Boston,Boston,MA,,,,,,,,,,,,,,,,,,,,,,,,,
University of Oklahoma,Norman,OK,,,,,,,,,,,,,,,,,,,,,,,,,
SUNY New Paltz,New Paltz,NY,,,,,,,,,,,,,,,,,,,,,,,,,
Florida International University,Miami,FL,,,,,,,,,,,,,,,,,,,,,,,,,
Kent State University,Kent,OH,$70 ,"$21,336 ",70,90,290,500,6,79,55,100,3.0/4,"CS,BA,DS,CSEC,CE","$22,000 ",,"$20,000 ","$22,000 ","$22,000 ",,,,"$22,000 ",,,,
Georgia State University,Atlanta,GA,,,,,,,,,,,,,,,,,,,,,,,,,
Howard University,Washington,DC,,,,,,,,,,,,,,,,,,,,,,,,,
California State University,Sacramento,CA,$70 ,"$25,000 ",77,50,295,,6.5,80,,,3.0/4,"CS,IS","$19,000 ",,,,,,"$18,100 ",,,,,,
Louisiana State University--Baton Rouge,Baton Rouge,LA,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan Technological University,Houghton,MI,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri University of Science & Technology,Rolla,MO,,,,,,,,,,,,,,,,,,,,,,,,,
University of North Texas,Denton,TX,,,,,,,,,,,,,,,,,,,,,,,,,
University of Texas at Arlington,Lubbock,TX,,,,,,,,,,,,,,,,,,,,,,,,,
Middlebury College,Middlebury,VT,,,,,,,,,,,,,,,,,,,,,,,,,
American University,Washington,DC,,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers University- Camden,Camden,NJ,,,,,,,,,,,,,,,,,,,,,,,,,
Miami University,Oxford,OH,,,,,,,,,,,,,,,,,,,,,,,,,
Samford University,Birmingham,AL,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity College,Hartford,CT,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Arizona University,Flagstaff,AZ,,,,,,,,,,,,,,,,,,,,,,,,,
University of Wisconsin- La Crosse,La Crosse,WI,,,,,,,,,,,,,,,,,,,,,,,,,
University of Massachusetts Dartmouth,Dartmouth,MA,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont University,Nashville,TN,,,,,,,,,,,,,,,,,,,,,,,,,
University of Miami,Coral Gables,FL,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Tech University,San Antonio,TX,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico State University,Las Cruces,NM,,,,,,,,,,,,,,,,,,,,,,,,,
California State University,Los Angles,CA,$70 ,"$25,000 ",91,50,295,,6.5,80,,,3.0/4,"CS,IS","$19,000 ",,,,,,"$18,100 ",,,,,,
University of Missouri,St. Louis,MO,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma State University,Stillwater,OK,,,,,,,,,,,,,,,,,,,,,,,,,
Old Dominion University,Norfolk,VA,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific University,Forest Grove,OR,,,,,,,,,,,,,,,,,,,,,,,,,
Portland State University,Portland,OR,,,,,,,,,,,,,,,,,,,,,,,,,
University of Alabama--Birmingham,Birmingham,AL,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton College,Northfield,MN,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga University,Spokane,WA,,"$18,000 ",60,40,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
University of Colorado--Colorado Springs,Colorado Springs,CO,,,,,,,,,,,,,,,,,,,,,,,,,
University of Hawaii--Manoa,Honolulu,HI,,,,,,,,,,,,,,,,,,,,,,,,,
University of Rhode Island,Kingston,RI,,,,,,,,,,,,,,,,,,,,,,,,,
Southern New Hampshire University,Manchester,NH,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Tech University,Cookeville,TN,,,,,,,,,,,,,,,,,,,,,,,,,
Wesleyan University,Middletown,CT,,,,,,,,,,,,,,,,,,,,,,,,,
University of Wisconsin--Milwaukee,Milwaukee,WI,,,,,,,,,,,,,,,,,,,,,,,,,
Utah State University,Logan,UT,,,,,,,,,,,,,,,,,,,,,,,,,
University of California,River Side,CA,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia University,Morgantown,WV,,,,,,,,,,,,,,,,,,,,,,,,,
DePaul University,Chicago,IL,,,,,,,,,,,,,,,,,,,,,,,,,
University of Michigan,Dearborn,MI,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Institute of Technology,Boca Raton,FL,,,,,,,,,,,,,,,,,,,,,,,,,
Champlain College,Burlington,VT,,,,,,,,,,,,,,,,,,,,,,,,,
Marquette University,Milwaukee,WI,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle University,Seattle,WA,,,,,,,,,,,,,,,,,,,,,,,,,
Loyola University,Baltimore,MD,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi State University,Mississippi State,MS,,"$18,000 ",50,40,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
Ohio University,Athens,OH,,,,,,,,,,,,,,,,,,,,,,,,,
University of Missouri- Kansas City,Kansas City,MO,,,,,,,,,,,,,,,,,,,,,,,,,
University of Arkansas--Fayetteville,Fayetteville,AR,,,,,,,,,,,,,,,,,,,,,,,,,
University of Colorado--Denver,Denver,CO,,,,,,,,,,,,,,,,,,,,,,,,,
University of Central Missouri,Warrensburg,MO,,,,,,,,,,,,,,,,,,,,,,,,,
University of St. Thomas,St. Paul,MN,,"$18,000 ",70,60,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
University of Louisiana--Lafayette,Lafayette,LA,,,,,,,,,,,,,,,,,,,,,,,,,
California State University,East Bay,CA,$70 ,"$25,000 ",90,50,295,,6.5,80,,,3.0/4,"CS,IS","$19,000 ",,,,,,"$18,100 ",,,,,,
Bowdoin College,Brunswick,ME,,,,,,,,,,,,,,,,,,,,,,,,,
University of Mississippi,University Park,MS,,,,,,,,,,,,,,,,,,,,,,,,,
University of Texas at San Antonio,Denton,TX,,,,,,,,,,,,,,,,,,,,,,,,,
University of Vermont,Burlington,VT,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodes College,Memphis,TN,,,,,,,,,,,,,,,,,,,,,,,,,
University of Hartford,West Hartford,CT,,,,,,,,,,,,,,,,,,,,,,,,,
University of West Florida,Pensacola,FL,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri Sate University,Springfield,MO,,,,,,,,,,,,,,,,,,,,,,,,,
University of North Carolina,Wilmington,NC,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland State University,Cleveland,OH,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana State University,Terre Haute,IN,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Pacific University,Seattle,WA,,,,,,,,,,,,,,,,,,,,,,,,,
University of Alabama--Huntsville,Huntsville,AL,,,,,,,,,,,,,,,,,,,,,,,,,
Western Illinois University,Macomb,IL,,,,,,,,,,,,,,,,,,,,,,,,,
University of Idaho,Moscow,ID,,"$18,000 ",60,55,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
University of Louisville,Louisville,KY,,,,,,,,,,,,,,,,,,,,,,,,,
University of Maine,Orono,ME,,"$18,000 ",70,40,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
California State University,Chico,CA,$70 ,"$25,000 ",71,50,295,,6.5,80,,,3.0/4,"CS,IS","$19,000 ",,,,,,"$18,100 ",,,,,,
University of Memphis,Memphis,TN,,,,,,,,,,,,,,,,,,,,,,,,,
Harding University,Searcy,AR,,,,,,,,,,,,,,,,,,,,,,,,,
University of New Hampshire,Durham,NH,,,,,,,,,,,,,,,,,,,,,,,,,
University of Michigan--Dearborn,Dearborn,MI,,,,,,,,,,,,,,,,,,,,,,,,,
University of Missouri--Kansas City,Kansas City,MO,,,,,,,,,,,,,,,,,,,,,,,,,
University of Connecticut,Mansfield,CT,,,,,,,,,,,,,,,,,,,,,,,,,
University of Nevada--Las Vegas,Las Vegas,NV,,,,,,,,,,,,,,,,,,,,,,,,,
Bowling Green state University,Bowling Green,OH,,,,,,,,,,,,,,,,,,,,,,,,,
University of Nevada--Reno,Reno,NV,,,,,,,,,,,,,,,,,,,,,,,,,
Florida A&M university,Tallahassee,FL,,,,,,,,,,,,,,,,,,,,,,,,,
University of Tulsa,Tulsa,OK,,,,,,,,,,,,,,,,,,,,,,,,,
Wichita State University,Wichita,KS,,,,,,,,,,,,,,,,,,,,,,,,,
Wright State University,Dayton,OH,,,,,,,,,,,,,,,,,,,,,,,,,
Montana State University,Bozeman,MT,,"$18,000 ",61,55,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
California State University,Fresno,CA,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina A&T State University,Greensboro,NC,,,,,,,,,,,,,,,,,,,,,,,,,
University of Arkansas--Little Rock,Little Rock,AR,,,,,,,,,,,,,,,,,,,,,,,,,
University of Dayton,Dayton,OH,,,,,,,,,,,,,,,,,,,,,,,,,
University of Nebraska--Omaha,Omaha,NE,,"$18,000 ",65,60,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
Northwest Missouri state University,Maryville,MO,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco state University,Claremont,CA,,,,,,,,,,,,,,,,,,,,,,,,,
University of New Haven,West Haven,CT,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana Tech University,Ruston,LA,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Illinois University--Carbondale,Carbondale,IL,,"$18,000 ",65,60,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
Towson University,Towson,MD,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Atlantic University,Boca Raton,FL,,,,,,,,,,,,,,,,,,,,,,,,,
University of Montana,Missoula,MT,,,,,,,,,,,,,,,,,,,,,,,,,
University of Houston,Houston,TX,,,,,,,,,,,,,,,,,,,,,,,,,
University of Toledo,Toledo,OH,,,,,,,,,,,,,,,,,,,,,,,,,
University of Wyoming,Laramie,WY,,"$18,000 ",60,50,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
Dakota State University,Madison,SD,,,,,,,,,,,,,,,,,,,,,,,,,
Colby College,Waterville,ME,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Michigan University,Ypsilanti,MI,,"$18,000 ",68,65,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
North Dakota State University,Fargo,ND,,"$18,000 ",62,50,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
Oakland University,Rochester,MI,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,New York,NY,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee State University,Nashville,TN,,,,,,,,,,,,,,,,,,,,,,,,,
Western Michigan University,Kalamazoo,MI,,,,,,,,,,,,,,,,,,,,,,,,,
Bowie State University,Bowie,MD,,"$18,000 ",60,50,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
University of Bridgeport,Bridgeport,CT,,,,,,,,,,,,,,,,,,,,,,,,,
University of Southern Mississippi,Hattiesburg,MS,,,,,,,,,,,,,,,,,,,,,,,,,
Walden University,Minneapolis,MN,,,,,,,,,,,,,,,,,,,,,,,,,
California State University,San Bernardino,CA,$70 ,"$25,000 ",65,50,295,,6.5,80,,,3.0/4,"CS,IS","$19,000 ",,,,,,"$18,100 ",,,,,,
University of North Florida,Jacksonville,FL,,,,,,,,,,,,,,,,,,,,,,,,,
concordia university st paul,St. Paul,MN,,,,,,,,,,,,,,,,,,,,,,,,,
University of Alabama- Tuscaloosa,Tuscaloosa,AL,,,,,,,,,,,,,,,,,,,,,,,,,
Rowan University,Glassboro,NJ,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado College,Colorado Springs,CO,,,,,,,,,,,,,,,,,,,,,,,,,
University of Houston Clear Lake,Houston,TX,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia University Wisconsin,Mequon,WI,,,,,,,,,,,,,,,,,,,,,,,,,
University of South Alabama,Mobile,AL,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M University,Kingsville,TX,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham state University,Rexburg,ID,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Missouri Sate University,Cape Girardeau,MO,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll College,Helena,MT,,"$18,000 ",70,40,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
Southwestern College,Winfield,KS,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M University,Corpus Christi,TX,,,,,,,,,,,,,,,,,,,,,,,,,
California State University,Bakersfield,CA,$70 ,"$25,000 ",70,50,295,,6.5,80,,,3.0/4,"CS,IS","$19,000 ",,,,,,"$18,100 ",,,,,,
University of Wisconsin,Green Bay,WI,,,,,,,,,,,,,,,,,,,,,,,,,
College of Idaho,Caldwell,ID,,"$18,000 ",70,40,290,,6,,,,2.7/4,CS,"$18,000 ",,,,,,,,,,,,
Oklahoma City University,Oklahoma City,OK,,,,,,,,,,,,,,,,,,,,,,,,,
George Fox University,Newberg,OR,,"$25,000 ",60,,,,6,70,,,3.0/4,CS,"$25,000 ",,,,,,,,,,,,
